Symbol,Company Name,Series,Industry,ISIN Code
ARROWGREEN,Arrow Greentech Limited,EQ,12-May-23,INE0ALR01029
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,06-Dec-02,INE209A01019
ARTEMISMED,Artemis Medicare Services Limited,EQ,05-Nov-18,INE399L01023
ARVEE,Arvee Laboratories (India) Limited,EQ,10-Aug-23,INE0NN701020
ARVIND,Arvind Limited,EQ,06-May-98,INE100A01010
ARVINDFASN,Arvind Fashions Limited,EQ,26-Jun-13,INE951D01028
ARVSMART,Arvind SmartSpaces Limited,EQ,10-Jul-17,INE949L01017
ASAHIINDIA,Asahi India Glass Limited,EQ,19-Jul-00,INE406A01037
ASAHISONG,Asahi Songwon Colors Limited,EQ,19-Aug-15,INE898S01029
ASAL,Automotive Stampings and Assemblies Limited,EQ,17-Apr-96,INE218C01016
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,29-May-03,INE449A01011
ASHAPURMIN,Ashapura Minechem Limited,EQ,31-Jan-07,INE718H01014
ASHIANA,Ashiana Housing Limited,EQ,28-Jul-17,INE349W01017
ASHIMASYN,Ashima Limited,EQ,18-Apr-23,INE0LCL01028
ASHOKA,Ashoka Buildcon Limited,EQ,15-Apr-15,INE871C01038
ASHOKAMET,Ashoka Metcast Limited,EQ,12-May-23,INE680Z01018
ASHOKLEY,Ashok Leyland Limited,EQ,04-Jan-23,INE323B01016
ASIANENE,Asian Energy Services Limited,EQ,07-Apr-22,INE652Z01017
ASIANHOTNR,Asian Hotels (North) Limited,EQ,10-Jan-07,INE488D01021
ASIANPAINT,Asian Paints Limited,EQ,01-Jan-21,INE01BK01022
ASIANTILES,Asian Granito India Limited,EQ,08-Feb-22,INE699H01024
ASKAUTOLTD,ASK Automotive Limited,EQ,16-Nov-98,INE238A01034
ASPINWALL,Aspinwall and Company Limited,EQ,21-Dec-00,INE555B01013
ASTEC,Astec LifeSciences Limited,EQ,21-Jun-22,INE02EZ01022
ASTERDM,Aster DM Healthcare Limited,EQ,14-Aug-15,INE193B01039
ASTRAL,Astral Limited,EQ,28-Dec-23,INE02IJ01035
ASTRAMICRO,Astra Microwave Products Limited,EQ,20-Jan-23,INE020D01022
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,26-May-08,INE917I01010
ASTRON,Astron Paper & Board Mill Limited,EQ,18-Aug-10,INE933K01021
ATALREAL,Atal Realtech Limited,EQ,02-Nov-07,INE193E01025
ATAM,Atam Valves Limited,EQ,26-May-08,INE918I01026
ATGL,Adani Total Gas Limited,EQ,25-Nov-21,INE411U01027
ATHERENERG,Ather Energy Limited,EQ,10-May-95,INE306A01021
ATL,Allcargo Terminals Limited,EQ,15-Mar-95,INE118A01012
ATLANTAA,ATLANTAA LIMITED,EQ,19-Dec-23,INE0KQN01018
ATLANTAELE,Atlanta Electricals Limited,EQ,01-Apr-03,INE296A01024
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,22-Nov-00,INE794B01026
ATUL,Atul Limited,EQ,05-Apr-07,INE050E01027
ATULAUTO,Atul Auto Limited,EQ,30-Nov-15,INE618N01014
AUBANK,AU Small Finance Bank Limited,EQ,27-Jan-06,INE787D01026
AURIONPRO,Aurionpro Solutions Limited,EQ,06-Jul-95,INE164A01016
AUROPHARMA,Aurobindo Pharma Limited,EQ,08-May-06,INE083D01012
AURUM,Aurum PropTech Limited,EQ,08-Feb-95,INE119A01028
AUSOMENT,Ausom Enterprise Limited,EQ,29-Apr-24,INE011E01029
AUTOAXLES,Automotive Axles Limited,EQ,07-Jul-95,INE655B01011
AUTOIND,Autoline Industries Limited,EQ,28-May-03,INE459A01010
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,22-Dec-06,INE213C01025
AVALON,Avalon Technologies Limited,EQ,27-Mar-18,INE545U01014
AVANTEL,Avantel Limited,EQ,20-Feb-08,INE863I01016
AVANTIFEED,Avanti Feeds Limited,EQ,19-Feb-97,INE028A01039
AVG,AVG Logistics Limited,EQ,30-Apr-97,INE084A01016
AVL,Aditya Vision Limited,EQ,11-Apr-07,INE629D01020
AVONMORE,Avonmore Capital & Management Services Limited,EQ,07-Apr-21,INE382M01027
AVROIND,AVRO INDIA LIMITED,EQ,17-May-95,INE373A01013
AVTNPL,AVT Natural Products Limited,EQ,14-Nov-05,INE186H01022
AWFIS,Awfis Space Solutions Limited,EQ,18-Jun-03,INE176A01028
AWHCL,Antony Waste Handling Cell Limited,EQ,08-Jan-10,INE462A01022
AWL,AWL Agri Business Limited,EQ,21-Nov-06,INE464A01036
AXISBANK,Axis Bank Limited,EQ,22-Jul-03,INE676A01027
AXISCADES,AXISCADES Technologies Limited,EQ,03-Apr-96,INE050A01025
AXITA,Axita Cotton Limited,EQ,23-Nov-22,INE01EE01011
AYMSYNTEX,AYM Syntex Limited,EQ,04-Mar-21,INE412G01024
AZAD,Azad Engineering Limited,EQ,23-Mar-18,INE171Z01018
BAGFILMS,B.A.G Films and Media Limited,EQ,13-Jan-15,INE520H01022
BAIDFIN,Baid Finserv Limited,EQ,24-Dec-20,INE495P01012
BAJAJ-AUTO,Bajaj Auto Limited,EQ,14-Oct-10,INE844K01012
BAJAJCON,Bajaj Consumer Care Limited,EQ,19-Jul-00,INE263A01024
BAJAJELEC,Bajaj Electricals Limited,EQ,05-Nov-03,INE258A01016
BAJAJFINSV,Bajaj Finserv Limited,EQ,21-Mar-05,INE922A01025
BAJAJHCARE,Bajaj Healthcare Limited,EQ,24-Nov-99,INE463A01038
BAJAJHFL,Bajaj Housing Finance Limited,EQ,10-Apr-24,INE052T01013
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,14-Jan-11,INE878K01010
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,03-May-07,INE243D01012
BAJAJINDEF,Indef Manufacturing Limited,EQ,18-Oct-21,INE414D01019
BAJEL,Bajel Projects Limited,EQ,02-Mar-16,INE354C01027
BAJFINANCE,Bajaj Finance Limited,EQ,17-May-17,INE458B01036
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,30-Jan-17,INE474E01029
BALAJITELE,Balaji Telefilms Limited,EQ,04-Apr-03,INE465A01025
BALAMINES,Balaji Amines Limited,EQ,03-Apr-96,INE561C01019
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,11-Oct-95,INE838B01013
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,01-Apr-16,INE316L01019
BALKRISIND,Balkrishna Industries Limited,EQ,15-Feb-02,INE397D01024
